report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
1,Technician disconnected a hydraulic hose while stored pressure remained.,HIGH,Hydraulic Maintenance,High-pressure release,Stored energy not released,Energy Isolation
2,An electrical cable was repaired while the circuit remained energized.,HIGH,Electrical Maintenance,Electric shock,Isolation not applied,Energy Isolation
3,Worker performed hot work on a vessel that had not been gas-freed.,HIGH,Hot Work,Explosion,Gas-free verification failed,Hot Work
4,Excavation was started without a permit or utility scan.,HIGH,Excavation,Underground utility strike,Permit and utility verification failed,Ground Disturbance
5,Worker stood close to a loaded trailer while it was being maneuvered.,HIGH,Vehicle Movement,Struck-by or crushing,Safe separation failed,Line of Fire
6,Hot work was started near flammable material without a proper permit.,HIGH,Hot Work,Fire or explosion,Hot-work permit and combustible control failed,Hot Work
7,Worker entered the swing radius of an excavator while it was operating.,HIGH,Excavation,Struck-by or crushing,Exclusion zone failed,Line of Fire
8,Vehicle reversed toward a worker without a spotter in a congested area.,HIGH,Vehicle Movement,Vehicle collision,Reversing control failed,Line of Fire
9,Scaffold access was used despite visible structural damage.,HIGH,Work at Height,Scaffold collapse or fall,Scaffold inspection/control failed,Working at Height
10,Temporary electrical cable was damaged but remained energized in a wet work area.,HIGH,Electrical Maintenance,Electric shock,Damaged equipment not isolated,Energy Isolation
11,A worker disconnected fall protection while working beside an open edge.,HIGH,Work at Height,Fall from height,Fall protection control bypassed,Working at Height
12,Maintenance started before lockout and tagout was applied to the machine.,HIGH,Equipment Maintenance,Unexpected startup,Lockout/tagout missing,Energy Isolation
13,Pump unexpectedly started while maintenance was being performed without proper isolation.,HIGH,Equipment Maintenance,Unexpected equipment movement,Energy isolation not applied,Energy Isolation
14,Excavator operated near an unverified underground pipeline.,HIGH,Excavation,Pipeline strike and release,Underground service verification failed,Ground Disturbance
15,Worker entered a process vessel while isolation of connected energy sources had not been verified.,HIGH,Confined Space Entry,Unexpected energy or hazardous atmosphere,Isolation boundary not verified,Confined Space
16,Hot work began before the surrounding area was checked for flammable materials.,HIGH,Hot Work,Fire or explosion,Pre-job fire hazard check failed,Hot Work
